split,entry_dt,exit_dt,entry_spot,exit_spot,strike,dte_entry,entry_iv_pct,entry_rv_pct,entry_ivr,ml_prob,entry_straddle,exit_straddle,straddle_pnl,hedge_pnl,costs,realized_pnl,exit_reason,duration_mins,hedge_count,hedge_revert,hedge_sl,er_entry,cumulative_pnl
TRAIN,2024-09-02 09:31:00,2024-09-02 10:59:00,25292.95,25314.55,25300,3,12.010327,14.444728369809075,12.809502293810574,0.6180119184456411,228.95,220.14999999999998,-572.0000000000007,0.0,120,-692.0000000000007,theta_bleed,88.0,0,0,0,0.1894080996884648,-692.0000000000007
TRAIN,2024-09-06 09:30:00,2024-09-06 09:45:00,25154.2,25028.0,25150,6,10.341408,12.644251457310368,17.027055443450635,0.676062383706431,274.0,301.1,1761.5000000000014,-186.74999999999926,120,1454.750000000002,vega_win,15.0,1,0,0,0.06960081883316978,762.7500000000014
TRAIN,2024-09-06 09:46:00,2024-09-06 10:07:00,25011.1,24921.75,25000,6,11.7074785,16.803978121062325,19.411991948860805,0.6640306202689474,308.20000000000005,340.75,2115.7499999999973,1064.5000000000007,120,3060.249999999998,vega_win,21.0,1,0,0,0.38381001021450634,3822.9999999999995
TRAIN,2024-09-06 10:12:00,2024-09-06 11:40:00,24927.85,24913.95,24950,6,12.6949145,19.414336198846343,21.135894311993738,0.727872387794002,329.9,305.5,-1585.9999999999986,157.74999999999963,120,-1548.249999999999,theta_bleed,88.0,1,1,0,0.41851067923801843,2274.7500000000005
TRAIN,2024-09-09 09:34:00,2024-09-09 11:02:00,24804.55,24880.5,24800,3,14.3703895,16.759575432837654,24.061000660020508,0.6470477879622709,268.95,241.2,-1803.75,-527.7499999999997,120,-2451.4999999999995,theta_bleed,88.0,3,2,0,0.12826398852223622,-176.7499999999991
TRAIN,2024-09-10 09:30:00,2024-09-10 09:47:00,24993.7,24939.15,25000,2,12.016193999999999,12.40239076665774,19.95095890974309,0.8566153288492827,188.25,206.39999999999998,1179.7499999999986,0.0,120,1059.7499999999986,vega_win,17.0,0,0,0,0.252446906740547,882.9999999999995
TRAIN,2024-09-20 09:34:00,2024-09-20 11:02:00,25473.1,25642.2,25450,6,11.675893,15.28841164545618,3.6690524853525335,0.6200497569274546,314.65,292.15,-1462.5,1138.000000000003,120,-444.49999999999704,theta_bleed,88.0,4,2,0,0.12206658177187518,438.5000000000025
TRAIN,2024-09-23 09:34:00,2024-09-23 11:02:00,25903.3,25890.45,25900,3,14.569216999999998,18.199648509343138,4.626511172978258,0.7949658796859798,284.65,259.25,-1650.9999999999986,0.0,120,-1770.9999999999986,theta_bleed,88.0,0,0,0,0.3211747351481779,-1332.4999999999961
TRAIN,2024-09-30 09:38:00,2024-09-30 11:06:00,26024.75,25939.5,26000,3,12.680340000000001,16.049027377307954,4.001444055190408,0.8484062188794489,250.95,240.25,-695.4999999999993,-1298.2499999999989,120,-2113.749999999998,theta_bleed,88.0,1,1,0,0.49751168752826863,-3446.2499999999945
TRAIN,2024-10-01 09:30:00,2024-10-01 10:58:00,25836.8,25755.05,25850,2,12.835663,14.896747693796797,4.052843537494529,0.8580188868516903,207.75,194.05,-890.4999999999993,1077.5,120,67.00000000000068,theta_bleed,88.0,1,0,0,0.08519437551695822,-3379.2499999999936
TRAIN,2024-10-03 09:40:00,2024-10-03 09:46:00,25629.45,25617.6,25650,7,34.738672,43.61132935139202,11.300986591018596,0.8621997061253327,184.0,157.0,-1755.0,0.0,120,-1875.0,max_drawdown,6.0,0,0,0,0.2692892115482006,-5254.249999999994
TRAIN,2024-10-04 09:33:00,2024-10-04 11:01:00,25159.45,25328.2,25150,6,15.337823,18.874794144111124,4.914097484191425,0.7460515045006624,404.6,372.9,-2060.5000000000027,-327.75000000000136,120,-2508.250000000004,theta_bleed,88.0,4,4,0,0.2657557166759638,-7762.499999999998
TRAIN,2024-10-07 11:23:00,2024-10-07 13:14:00,24947.35,24793.85,24950,3,19.6380905,19.4090056435981,6.336644590180514,0.7983454450638569,364.55,394.54999999999995,1949.9999999999964,3008.500000000002,120,4838.499999999998,vega_win,111.0,5,4,0,0.016905784519784743,-2924.0
TRAIN,2024-10-11 09:45:00,2024-10-11 11:13:00,25003.4,24955.3,25000,6,11.859852,12.2216007533848,3.917034069211519,0.6453890786654363,311.25,309.04999999999995,-143.00000000000296,330.0,120,66.99999999999704,theta_bleed,88.0,1,1,0,0.01197183098590796,-2857.0000000000027
TRAIN,2024-10-18 09:46:00,2024-10-18 11:14:00,24659.55,24719.35,24650,6,12.931611499999999,19.410155188990156,2.944288048914675,0.6581295064059763,334.85,319.29999999999995,-1010.7500000000044,82.99999999999926,120,-1047.7500000000052,theta_bleed,88.0,1,0,0,0.20565783565335122,-3904.750000000008
TRAIN,2024-10-21 09:30:00,2024-10-21 09:49:00,24889.3,24714.5,24900,3,13.6556945,17.577110196829953,3.109148315813529,0.7626125535056351,256.0,280.70000000000005,1605.500000000003,2259.000000000002,120,3744.5000000000045,vega_win,19.0,2,0,0,0.11250000000000393,-160.25000000000364
TRAIN,2024-10-21 10:07:00,2024-10-21 11:36:00,24838.0,24760.95,24850,3,13.839561,23.125916114555757,3.1510113070227663,0.6434247926175869,257.85,255.89999999999998,-126.75000000000296,148.2500000000017,120,-98.50000000000125,theta_bleed,89.0,3,2,0,0.10640365367797194,-258.7500000000049
TRAIN,2024-10-22 09:30:00,2024-10-22 10:28:00,24808.1,24649.4,24800,2,14.2601795,15.249266988454838,3.246778336731509,0.760204355172692,222.3,244.15,1420.2499999999995,3120.500000000002,120,4420.750000000002,vega_win,58.0,4,1,0,0.07892949327536525,4161.999999999997
TRAIN,2024-10-22 10:32:00,2024-10-22 12:00:00,24642.85,24685.05,24650,2,16.1627495,15.676821101923489,3.679958231845401,0.8127958484196002,247.15,230.75,-1066.0000000000005,975.2499999999995,120,-210.7500000000009,theta_bleed,88.0,2,2,0,0.5011984659635536,3951.2499999999964
TRAIN,2024-10-25 09:31:00,2024-10-25 09:50:00,24384.3,24291.05,24400,6,12.162016999999999,11.773409913589013,2.7690656577331536,0.643414274045064,310.15,342.5,2102.7500000000014,238.99999999999966,120,2221.750000000001,vega_win,19.0,1,1,0,0.05128205128205726,6172.999999999997
TRAIN,2024-10-25 10:18:00,2024-10-25 10:55:00,24248.4,24121.85,24250,6,12.638905000000001,15.295956410932352,2.877644208756808,0.956693240080948,320.45,354.65,2222.999999999999,4446.25,120,6549.249999999999,vega_win,37.0,2,0,0,0.22243599230426436,12722.249999999996
TRAIN,2024-10-28 09:53:00,2024-10-28 11:21:00,24237.85,24390.45,24250,3,14.854213,17.55591311048499,3.382028744981475,0.6205126126407373,270.45000000000005,246.15,-1579.5000000000025,1305.2499999999995,120,-394.25000000000296,theta_bleed,88.0,3,2,0,0.0312574564543119,12327.999999999993
TRAIN,2024-10-29 10:14:00,2024-10-29 11:42:00,24225.15,24228.1,24250,2,16.0469785,16.03748833008413,3.653599322771238,0.620885162800594,242.05,234.64999999999998,-481.0000000000022,-1767.7500000000005,120,-2368.7500000000027,theta_bleed,88.0,2,1,0,0.010681093078093088,9959.249999999989
TRAIN,2024-10-31 09:59:00,2024-10-31 10:11:00,24295.05,24273.65,24300,7,14.572971,14.73145620448518,3.317995158799826,0.8095766898015243,70.95,81.6,692.2499999999994,0.0,120,572.2499999999994,vega_win,12.0,0,0,0,0.017466446037874797,10531.499999999989
TRAIN,2024-10-31 10:12:00,2024-10-31 10:14:00,24280.55,24274.05,24300,7,14.8709705,14.87378392589323,3.3858441168691695,0.8111336773570823,72.35,81.0,562.2500000000003,0.0,120,442.25000000000034,vega_win,2.0,0,0,0,0.09276018099547065,10973.749999999989
TRAIN,2024-11-08 09:55:00,2024-11-08 11:21:00,24166.45,24158.55,24150,6,14.074989500000001,14.209864491903602,3.2046140091240405,0.679790847259342,357.2,307.79999999999995,-3211.0000000000023,0.0,120,-3331.0000000000023,max_drawdown,86.0,0,0,0,0.7345890410959345,7642.749999999987
TRAIN,2024-11-11 09:33:00,2024-11-11 11:01:00,24142.0,24265.3,24150,3,15.352843,20.015504907770058,3.4955575460771717,0.6556700161546832,279.1,253.5,-1664.0000000000014,-402.75000000000057,120,-2186.750000000002,theta_bleed,88.0,2,1,0,0.04272549567159782,5455.999999999985
TRAIN,2024-11-12 09:30:00,2024-11-12 10:58:00,24176.75,24145.0,24200,2,14.86016,22.67581964417633,3.383382766560835,0.6360944526236137,225.2,218.6,-428.99999999999966,-3875.2499999999995,120,-4424.249999999999,theta_bleed,88.0,3,3,0,0.09171674941206902,1031.7499999999864
TRAIN,2024-11-14 10:17:00,2024-11-14 10:35:00,23610.05,23596.65,23600,7,21.206375,20.512234893639725,4.8282981957278075,0.814572308610181,97.9,83.85,-913.2500000000007,0.0,120,-1033.2500000000007,max_drawdown,18.0,0,0,0,0.059942663539223805,-1.5000000000143245
TRAIN,2024-11-18 10:04:00,2024-11-18 11:32:00,23471.35,23408.9,23450,3,15.1598585,17.93805645020435,3.4516185554126464,0.6164710435050643,268.8,264.79999999999995,-260.0000000000037,-1970.7499999999998,120,-2350.7500000000036,theta_bleed,88.0,3,3,0,0.014797015302892269,-2352.250000000018
TRAIN,2024-11-19 09:52:00,2024-11-19 11:20:00,23658.85,23729.2,23650,2,13.7228545,18.916960084539244,6.719174316762801,0.6108290185160401,203.45,188.45,-975.0,-268.00000000000017,120,-1363.0000000000002,theta_bleed,88.0,1,1,0,0.481527553178262,-3715.250000000018
TRAIN,2024-11-21 09:51:00,2024-11-21 09:56:00,23324.7,23332.25,23300,7,18.7462765,21.70247408775732,9.178811856799475,0.785576642371417,91.35,99.4,523.2500000000007,0.0,120,403.2500000000007,vega_win,5.0,0,0,0,0.24151404151404202,-3312.0000000000173
TRAIN,2024-11-21 10:07:00,2024-11-21 10:10:00,23339.15,23312.55,23350,7,18.159899,23.083028373139484,8.891701573882202,0.7910268088774159,84.25,71.5,-828.75,0.0,120,-948.75,max_drawdown,3.0,0,0,0,0.07666001709888602,-4260.750000000017
TRAIN,2024-11-22 09:30:00,2024-11-22 10:47:00,23525.3,23457.6,23550,6,14.5612465,16.690432496862297,7.1296794338854355,0.7426158010038275,357.75,399.29999999999995,2700.7499999999973,772.2500000000002,120,3352.9999999999973,vega_win,77.0,3,3,0,0.5090128755364798,-907.75000000002
TRAIN,2024-11-22 10:48:00,2024-11-22 14:08:00,23475.6,23852.45,23500,6,16.060571,19.926717594156734,7.863799486888492,0.7927580572174975,392.0,434.9,2788.4999999999986,2334.250000000001,120,5002.75,vega_win,200.0,6,3,1,0.2598721323805988,4094.99999999998
TRAIN,2024-11-25 09:32:00,2024-11-25 11:00:00,24302.4,24316.9,24300,3,18.3549535,71.19266563364197,8.987206863016398,0.7785404736693844,336.15,302.2,-2206.749999999999,0.0,120,-2326.749999999999,theta_bleed,88.0,0,0,0,0.43647528766470195,1768.249999999981
TRAIN,2024-11-29 10:03:00,2024-11-29 11:31:00,24046.9,24128.25,24050,6,15.499652,16.168987231582623,10.103636466120115,0.6038923476419269,389.3,355.95000000000005,-2167.7499999999977,66.99999999999704,120,-2220.750000000001,theta_bleed,88.0,3,2,0,0.2241864654881258,-452.50000000002
TRAIN,2024-12-02 09:30:00,2024-12-02 12:31:00,24062.25,24173.5,24050,3,16.953923000000003,16.481456549089394,11.051620685844595,0.7916837942822537,308.1,337.3,1897.9999999999993,1151.0000000000002,120,2928.9999999999995,vega_win,181.0,4,4,0,0.2497365648050618,2476.4999999999795
TRAIN,2024-12-06 09:34:00,2024-12-06 10:27:00,24691.4,24734.7,24700,6,18.356286500000003,29.1445006239041,11.109972063695283,0.706097697174827,473.54999999999995,408.1,-4254.249999999995,383.7500000000019,120,-3990.4999999999936,max_drawdown,53.0,2,1,0,0.15190085412828408,-1514.000000000014
TRAIN,2024-12-13 11:01:00,2024-12-13 12:29:00,24262.1,24584.2,24250,6,14.922566000000002,14.794976305784747,9.047963510152908,0.8234155063887907,378.1,357.6,-1332.5,1337.9999999999993,120,-114.50000000000068,theta_bleed,88.0,5,2,1,0.0019487333233332892,-1628.5000000000148
TRAIN,2024-12-19 09:38:00,2024-12-19 09:51:00,23924.35,23957.4,23900,7,22.470972,44.56966499752023,14.114314132314595,0.6152664976984558,112.9,96.65,-1056.25,-1415.25,120,-2591.5,max_drawdown,13.0,1,1,0,0.5121769151814867,-4220.000000000015
TRAIN,2024-12-20 09:48:00,2024-12-20 11:16:00,23934.05,23911.35,23950,6,16.9949355,20.01456166987857,4.196089228524864,0.6728119859980278,424.5,375.25,-3201.25,-804.0000000000016,120,-4125.250000000002,theta_bleed,88.0,3,3,0,0.04594969300851751,-8345.250000000016
TRAIN,2024-12-23 09:44:00,2024-12-23 10:25:00,23745.75,23741.25,23750,3,14.6010745,28.516834424401683,3.5903220327453487,0.6061260262226728,260.9,222.6,-2489.499999999999,0.0,120,-2609.499999999999,max_drawdown,41.0,0,0,0,0.24877236787348816,-10954.750000000015
TRAIN,2024-12-30 09:41:00,2024-12-30 11:10:00,23745.8,23784.45,23750,3,14.021173000000001,13.654208738438445,3.443577795931543,0.7526009020481634,250.65,248.9,-113.75,755.7499999999998,120,521.9999999999998,theta_bleed,89.0,1,1,0,0.20236195339930527,-10432.750000000015
TRAIN,2024-12-31 09:30:00,2024-12-31 10:47:00,23546.5,23532.25,23550,2,17.2439545,22.77892386349594,4.259103556142808,0.9245219030280485,254.45,277.04999999999995,1468.9999999999977,-146.00000000000034,120,1202.9999999999973,vega_win,77.0,2,2,0,0.2295894289759307,-9229.750000000018
TRAIN,2025-01-06 09:43:00,2025-01-06 11:40:00,23962.65,23762.4,23950,3,18.3311285,19.567054778299273,4.534213241001033,0.8249524312514165,331.15,357.29999999999995,1699.7499999999986,4074.5000000000005,120,5654.249999999999,vega_win,117.0,5,1,2,0.08340807174887724,-3575.500000000019
TRAIN,2025-01-07 09:31:00,2025-01-07 10:59:00,23759.55,23724.85,23750,2,20.888759,25.2480044206355,5.181422354573275,0.6851341821748756,311.29999999999995,279.45,-2070.2499999999977,-142.74999999999966,120,-2332.9999999999973,theta_bleed,88.0,2,2,0,0.28434130332866137,-5908.500000000016
TRAIN,2025-01-10 10:19:00,2025-01-10 11:47:00,23420.2,23533.6,23400,6,15.606352500000002,15.778683687657255,3.844707911891564,0.7400912569147035,383.1,348.3,-2262.000000000001,-1315.5000000000011,120,-3697.500000000002,theta_bleed,88.0,6,5,0,0.11260018394428647,-9606.000000000018
TRAIN,2025-01-13 09:39:00,2025-01-13 11:07:00,23219.75,23272.75,23200,3,18.829545500000002,40.43772334845779,4.660337802292955,0.6066356699408156,330.15,309.45000000000005,-1345.4999999999955,99.5000000000025,120,-1365.999999999993,theta_bleed,88.0,3,1,0,0.3617245930488398,-10972.000000000011
TRAIN,2025-01-14 09:46:00,2025-01-14 11:14:00,23190.85,23260.05,23200,2,15.2939185,21.905498035163767,3.7656464007820314,0.7547837115858498,221.64999999999998,201.9,-1283.7499999999982,-46.74999999999926,120,-1450.4999999999975,theta_bleed,88.0,3,1,0,0.30857227752191324,-12422.50000000001
TRAIN,2025-01-16 09:33:00,2025-01-16 09:40:00,23353.4,23325.05,23350,7,14.742367000000002,20.11808901444639,3.6260761393996934,0.6609408421334177,71.7,81.05,607.7499999999997,0.0,120,487.74999999999966,vega_win,7.0,0,0,0,0.4538721622927099,-11934.75000000001
TRAIN,2025-01-16 09:41:00,2025-01-16 09:45:00,23327.2,23315.7,23350,7,16.403143999999998,20.166952807791738,4.046336223884596,0.6884759834351101,80.6,65.8,-961.9999999999998,0.0,120,-1081.9999999999998,max_drawdown,4.0,0,0,0,0.4149573998106734,-13016.75000000001
TRAIN,2025-01-17 09:30:00,2025-01-17 11:50:00,23228.65,23138.65,23250,6,14.197563999999998,27.729064309308693,3.48821358783038,0.7540614196938978,344.5,376.25,2063.75,-1457.2499999999984,120,486.5000000000016,vega_win,140.0,3,2,0,0.1967403958090751,-12530.250000000007
TRAIN,2025-01-21 11:46:00,2025-01-21 12:23:00,23371.95,23159.75,23350,2,20.029075,24.30592713692809,4.963879077859833,0.9503752717094819,288.25,314.15,1683.4999999999986,-37.00000000000256,120,1526.4999999999961,vega_win,37.0,3,1,0,0.5138251559006984,-11003.750000000011
TRAIN,2025-01-24 10:28:00,2025-01-24 11:56:00,23191.6,23339.55,23200,6,15.490959000000002,15.209205394437445,9.265027057200449,0.6457465159070924,374.45,339.9,-2245.750000000001,-51.74999999999932,120,-2417.5,theta_bleed,88.0,2,0,0,0.05802886091494428,-13421.250000000011
TRAIN,2025-01-27 09:30:00,2025-01-27 10:58:00,22955.15,22856.7,22950,3,19.938367,28.047904080359498,12.260473295195212,0.8027296445024218,345.0,342.9,-136.50000000000148,900.4999999999993,120,643.9999999999978,theta_bleed,88.0,2,1,0,0.3193591133598406,-12777.250000000013
TRAIN,2025-01-28 09:30:00,2025-01-28 11:00:00,22898.4,22910.5,22900,2,21.5988105,22.768241114029824,13.378825655823661,0.7125220765568515,309.9,339.79999999999995,1943.4999999999986,0.0,120,1823.4999999999986,vega_win,90.0,0,0,0,0.18723865572247272,-10953.750000000015
TRAIN,2025-02-03 09:33:00,2025-02-03 11:01:00,23323.55,23320.45,23300,3,15.397439499999999,39.87991894769502,7.026674112336647,0.6543300528551924,272.35,251.2,-1374.7500000000023,-1250.9999999999995,120,-2745.750000000002,theta_bleed,88.0,2,1,0,0.3693478260869772,-13699.500000000016
TRAIN,2025-02-04 09:30:00,2025-02-04 09:37:00,23503.45,23539.0,23500,2,15.515155,24.29578866169829,7.087215718746434,0.8077948629628358,228.8,257.6,1872.0000000000007,0.0,120,1752.0000000000007,vega_win,7.0,0,0,0,0.46581196581198936,-11947.500000000016
TRAIN,2025-02-04 09:38:00,2025-02-04 10:16:00,23549.8,23510.5,23550,2,17.6002095,24.511270352334016,8.159568542987525,0.7721778810243158,259.5,286.45000000000005,1751.750000000003,0.0,120,1631.750000000003,vega_win,38.0,0,0,0,0.5916359163591952,-10315.750000000013
TRAIN,2025-02-07 10:12:00,2025-02-07 11:40:00,23587.1,23658.1,23600,6,14.43844,17.027655749063943,1.980298546372681,0.7903672705471813,355.2,322.79999999999995,-2106.0000000000023,-1915.5000000000027,120,-4141.5000000000055,theta_bleed,88.0,3,1,0,0.018523963540143493,-14457.250000000018
TRAIN,2025-02-10 09:40:00,2025-02-10 11:39:00,23431.1,23389.25,23450,3,16.590362499999998,19.264101938957328,2.3157537916012845,0.8267212457825946,292.35,292.15,-13.000000000002956,537.9999999999993,120,404.99999999999636,theta_bleed,119.0,1,1,0,0.40703922622246425,-14052.250000000022
TRAIN,2025-02-14 09:30:00,2025-02-14 11:01:00,23038.1,22915.85,23050,6,14.989502500000002,20.75626237466496,2.020276461642753,0.9134933341613352,361.0,360.75,-16.25,477.9999999999992,120,341.7499999999992,theta_bleed,91.0,2,0,0,0.04387926215762326,-13710.500000000022
TRAIN,2025-02-14 11:12:00,2025-02-14 12:40:00,22899.05,22855.5,22900,6,14.9804025,15.659055061562006,2.018857231051893,0.723114977940645,357.1,350.65,-419.25000000000296,882.5,120,343.24999999999704,theta_bleed,88.0,1,1,0,0.37033799533800094,-13367.250000000025
TRAIN,2025-02-17 09:31:00,2025-02-17 10:59:00,22812.45,22877.5,22800,3,20.1882835,31.22674658777069,2.83107525619023,0.7423494810276631,347.45,333.5,-906.7499999999993,645.4999999999993,120,-381.25,theta_bleed,88.0,3,2,0,0.2315326280310763,-13748.500000000025
TRAIN,2025-02-24 09:52:00,2025-02-24 11:20:00,22589.15,22579.55,22600,3,14.801779000000002,21.614849606341973,2.0901710320183713,0.6478205005797936,251.2,237.45,-893.75,0.0,120,-1013.75,theta_bleed,88.0,0,0,0,0.4117508813160919,-14762.250000000025
TRAIN,2025-02-27 09:47:00,2025-02-27 10:08:00,22563.4,22545.35,22550,7,11.0084845,13.462234887959415,1.4991696954906006,0.8359275253246742,52.0,44.099999999999994,-513.5000000000003,0.0,120,-633.5000000000003,max_drawdown,21.0,0,0,0,0.12891450528339615,-15395.750000000025
TRAIN,2025-02-28 09:34:00,2025-02-28 11:02:00,22279.65,22252.95,22300,6,12.644884000000001,30.18676660187109,1.7541233489950612,0.6369589731799082,294.3,276.7,-1144.0000000000014,-155.75000000000074,120,-1419.750000000002,theta_bleed,88.0,2,2,0,0.6660161014882009,-16815.50000000003
TRAIN,2025-03-03 09:35:00,2025-03-03 11:07:00,22176.9,22030.2,22200,3,15.470330000000002,21.419260293510284,2.1943323447076386,0.7833271905297833,258.2,256.1,-136.49999999999778,-792.7499999999998,120,-1049.2499999999975,theta_bleed,92.0,2,1,0,0.1515681983953324,-17864.750000000025
TRAIN,2025-03-04 09:45:00,2025-03-04 11:13:00,22023.1,22084.85,22000,2,15.017814000000001,31.718755732261037,2.1238296297720596,0.7416562819742273,208.6,198.35000000000002,-666.2499999999982,-771.7500000000002,120,-1557.9999999999984,theta_bleed,88.0,1,1,0,0.20487957460119047,-19422.750000000025
TRAIN,2025-03-06 10:08:00,2025-03-06 10:37:00,22346.5,22356.05,22350,7,22.2018335,25.14336069914235,3.24311133229781,0.8071239564353928,98.0,81.94999999999999,-1043.2500000000007,0.0,120,-1163.2500000000007,max_drawdown,29.0,0,0,0,0.005111167901865633,-20586.000000000025
TRAIN,2025-03-07 09:32:00,2025-03-07 11:00:00,22527.65,22572.15,22550,6,12.800034499999999,17.70789128834384,1.7782960444878446,0.6086390821690612,301.2,299.35,-120.24999999999778,-722.9999999999993,120,-963.249999999997,theta_bleed,88.0,1,0,0,0.04193416199972084,-21549.250000000022
TRAIN,2025-03-10 09:45:00,2025-03-10 11:13:00,22651.8,22611.05,22650,3,14.885772,17.386102897696233,2.1032572754563583,0.7875016234302257,253.95,243.4,-685.7499999999989,0.0,120,-805.7499999999989,theta_bleed,88.0,0,0,0,0.3239272727272685,-22355.000000000022
TRAIN,2025-03-11 09:30:00,2025-03-11 10:58:00,22348.4,22453.7,22350,2,16.3754245,21.397386735103492,2.3353475121785365,0.7610755514167619,229.4,228.89999999999998,-32.50000000000185,581.9999999999998,120,429.49999999999795,theta_bleed,88.0,2,1,0,0.3158317706938006,-21925.500000000025
TRAIN,2025-03-17 09:43:00,2025-03-17 11:11:00,22548.4,22480.9,22550,3,14.0649995,18.942191915050834,8.40911758062623,0.6182914014074008,238.8,232.95,-380.2500000000015,-544.2500000000002,120,-1044.5000000000018,theta_bleed,88.0,1,0,0,0.5000833194467638,-22970.00000000003
TRAIN,2025-03-18 09:30:00,2025-03-18 10:58:00,22653.4,22751.65,22650,2,16.530078,19.084773890644612,9.882927441193502,0.7133617868796719,234.9,221.25,-887.2500000000003,1144.25,120,136.99999999999966,theta_bleed,88.0,2,1,0,0.536721068249271,-22833.00000000003
TRAIN,2025-03-20 09:46:00,2025-03-20 09:49:00,23034.65,23021.25,23050,7,19.3530905,18.83980832095564,11.570737244818279,0.8714899013300791,91.69999999999999,102.25,685.7500000000007,0.0,120,565.7500000000007,vega_win,3.0,0,0,0,0.40911127707243095,-22267.25000000003
TRAIN,2025-03-20 09:52:00,2025-03-20 10:01:00,23030.6,23014.55,23050,7,18.5451005,19.28744899417776,11.08765987862497,0.6959323063272248,87.65,104.05,1065.9999999999995,0.0,120,945.9999999999995,gamma_win,9.0,0,0,0,0.3269124931205283,-21321.25000000003
TRAIN,2025-03-20 10:03:00,2025-03-20 10:06:00,23044.65,22993.0,23050,7,19.882985499999997,19.80572927395566,11.887548444163569,0.6289861143463762,91.25,107.95,1085.5000000000002,0.0,120,965.5000000000002,gamma_win,3.0,0,0,0,0.006701129618992879,-20355.75000000003
TRAIN,2025-03-24 09:30:00,2025-03-24 10:42:00,23472.55,23580.75,23450,3,14.644879,24.683667875464373,8.75581328424817,0.8671083164172303,260.9,285.5,1599.0000000000014,595.0,120,2074.0000000000014,vega_win,72.0,2,0,0,0.35068788777987175,-18281.75000000003
TRAIN,2025-03-25 09:45:00,2025-03-25 11:13:00,23781.55,23691.95,23800,2,17.806379999999997,19.30320405382148,10.645997044316372,0.7182081801176263,264.7,252.2,-812.5,-1395.2499999999975,120,-2327.7499999999973,theta_bleed,88.0,5,4,0,0.270782095425477,-20609.500000000025
TRAIN,2025-03-28 09:35:00,2025-03-28 11:03:00,23530.4,23622.1,23550,6,12.354457,12.776229909619103,4.862691635794607,0.6166293087095063,303.75,300.55,-207.99999999999926,-2628.9999999999995,120,-2956.9999999999986,theta_bleed,88.0,2,1,0,0.22436017186623014,-23566.500000000025
TRAIN,2025-04-01 09:30:00,2025-04-01 10:56:00,23476.95,23245.6,23500,2,14.486385000000002,18.95239677939727,5.701814589860199,0.8050490150185216,213.2,243.65,1979.2500000000011,998.2500000000007,120,2857.500000000002,vega_win,86.0,4,1,1,0.1292855273488551,-20709.000000000022
